COG count
COG3480 1
COG1732 1
COG3274 2
COG0833 3
COG1916 4
COG2606 13
COG5030 6
COG2188 3
COG1763 4
COG3724 3
COG3568 4
COG3369 2
COG3777 5
COG2851 1
COG3743 6
COG3497 2
COG3063 102
COG3764 2
COG1547 8
COG2610 1
COG1289 0
COG4133 5
COG1069 2
COG3867 2
COG3864 7
COG2368 9
COG5024 6
COG1814 1
COG2233 5
COG4230 14
COG0692 19
COG5021 6
COG0348 1
COG1256 2
COG5373 1
COG1316 2
COG5483 1
COG1471 6
COG2608 3
COG2826 1
COG1778 2
COG3188 2
COG1320 1
COG2082 13
COG3425 7
COG3774 1
COG3894 4
COG3728 2
COG2360 3
COG1959 16
COG1951 10
COG5276 5
COG4973 13
COG2075 6
COG1015 6
COG5537 6
COG4977 9
